gene,votes,mean_log2FC,best_FDR,RMC_DEG
ILMN_1651624,0,-0.0413034903364363,0.0082894838898315,False
ILMN_1651628,3,-0.4382009645380844,2.07044115426183e-07,True
ILMN_1651636,0,0.0150390584581854,0.413223808797026,False
ILMN_1651637,2,-0.3835020192987267,8.90876380983554e-08,True
ILMN_1651641,0,0.004527783481766566,0.751282942921636,False
ILMN_1651642,0,0.27923251183630665,1.64816721022901e-06,False
ILMN_1651652,0,-0.38333860929605496,5.97639999679556e-06,False
ILMN_1651656,0,0.006924098821419,0.633424111694259,False
ILMN_1651657,0,0.02568438063037187,0.0830880823208805,False
ILMN_1651660,0,0.006752350700148167,0.70588306798002,False
ILMN_1651662,0,0.013277559220365468,0.325104125345725,False
ILMN_1651664,0,-0.018491902727948265,0.19272288405689,False
ILMN_1651672,0,-0.01993012465566073,0.139830951912058,False
ILMN_1651680,0,0.26699121641564966,0.0131615883950448,False
ILMN_1651681,0,-0.021380201811506832,0.176599112987472,False
ILMN_1651684,0,0.15794402197756033,9.87997782401207e-05,False
ILMN_1651685,0,-0.23167643299879867,0.0003950140460816,False
ILMN_1651692,0,-0.0730854355051646,0.0710913978075684,False
ILMN_1651693,0,0.0093505013097009,0.799448842959405,False
ILMN_1651699,0,0.31743314012703266,0.0006996904464195,False
ILMN_1651705,0,0.17394471681152368,0.144764649589293,False
ILMN_1651708,0,-0.009257876674900701,0.754567566754744,False
ILMN_1651710,0,0.08854546129174606,1.16279447137601e-05,False
ILMN_1651711,0,-0.010537067053067934,0.451065128404147,False
ILMN_1651712,3,-0.42836415232066366,2.31211649575254e-07,True
ILMN_1651715,0,-0.03157216062996,0.332997593459943,False
ILMN_1651717,0,-0.08922438054866615,2.19433476191232e-05,False
ILMN_1651719,0,-0.07096707446150151,0.163367456587364,False
ILMN_1651727,0,-0.010968568877757998,0.520339484058016,False
ILMN_1651735,0,-0.344150112609328,5.266969583138e-08,False
ILMN_1651737,0,-0.0025113320381381665,0.924906284239686,False
ILMN_1651741,0,-0.013865554927333434,0.369750235910921,False
ILMN_1651745,0,-0.030601314638391237,0.802527630709451,False
ILMN_1651752,0,0.12030286297611466,0.0016950028968182,False
ILMN_1651758,0,0.0115079074344481,0.414524155637075,False
ILMN_1651760,0,0.013002263368026968,0.437675688599974,False
ILMN_1651763,0,0.0014027992806398334,0.918802863327694,False
ILMN_1651767,0,-0.029920431746008235,0.628270467543118,False
ILMN_1651776,0,0.2663857309601417,5.93805078539145e-06,False
ILMN_1651787,0,0.040964624626384005,0.0094398525376995,False
ILMN_1651788,3,0.5384609300859876,9.69059564105257e-08,True
ILMN_1651792,0,-0.032432761126220906,0.0451913485677475,False
ILMN_1651799,3,0.6704969070721281,8.06071243888192e-09,True
ILMN_1651800,0,0.21542423449647966,0.0004791708010403,False
ILMN_1651806,0,0.007498321167368434,0.549507731778271,False
ILMN_1651811,0,-0.05908596408064446,0.0003776616678275,False
ILMN_1651817,0,-0.13022895683095034,0.103667971717484,False
ILMN_1651819,0,-0.19364387386228632,4.25298674969412e-05,False
ILMN_1651826,3,-0.7680341268282113,4.07844256208379e-09,True
ILMN_1651828,0,0.04450070092544767,0.528384614715017,False
ILMN_1651832,3,0.573455200995103,5.99297278891812e-08,True
ILMN_1651838,0,-0.12365358851166434,0.126721980899486,False
ILMN_1651846,0,0.0010932244665739666,0.934958078366604,False
ILMN_1651850,0,0.27287309250876335,7.46543385505768e-08,False
ILMN_1651865,0,0.007999052484854066,0.675772508830485,False
ILMN_1651872,0,0.241829512467406,1.0116244377761501e-09,False
ILMN_1651878,0,0.0816019518308654,2.42573738364617e-06,False
ILMN_1651886,0,-0.15810688961942765,0.0331378899048141,False
ILMN_1651899,0,0.08689866726777329,0.301785987260806,False
ILMN_1651900,0,-0.310319569881676,1.52532436340972e-08,False
ILMN_1651902,0,0.13322357261420634,0.00639132244756,False
ILMN_1651903,0,-0.0089549888257226,0.487124735692122,False
ILMN_1651905,0,0.002621555178662633,0.876772650546381,False
ILMN_1651913,0,0.012528530899559832,0.322499611306825,False
ILMN_1651916,0,-0.019147728871524567,0.283325923372575,False
ILMN_1651936,0,0.149920640395613,0.0061244569447999,False
ILMN_1651940,0,0.005234524736613466,0.726236946255655,False
ILMN_1651943,0,0.07392120658824507,0.0007783343572108,False
ILMN_1651944,0,-0.0237928548669147,0.3247882643193,False
ILMN_1651949,0,-0.015576661188389532,0.67446875474419,False
ILMN_1651950,0,-0.08442746550199216,0.416808074328928,False
ILMN_1651958,0,-0.1359251492412067,0.0002005639703305,False
ILMN_1651964,0,-0.08331323329616507,0.293603843689879,False
ILMN_1651966,0,-0.021354185873746365,0.379510705124076,False
ILMN_1651967,0,-0.23762474187655666,6.10180214820206e-07,False
ILMN_1651980,0,0.0022111513126060666,0.874527120680831,False
ILMN_1651984,0,0.020838085694915964,0.270299707977815,False
ILMN_1652000,0,-0.023133894682934003,0.320675242505225,False
ILMN_1652006,0,0.006221079714396866,0.828790559613182,False
ILMN_1652008,0,-0.11819810944234933,0.0002560960789987,False
ILMN_1652015,0,0.03374089866613783,0.0539331407983361,False
ILMN_1652017,3,-0.5985319947879156,2.94548551287703e-11,True
ILMN_1652022,0,-0.0356632371477427,0.0529339155183305,False
ILMN_1652023,0,-0.07180900873540659,0.0005887119757884,False
ILMN_1652024,3,-0.4514776676508034,3.04397800481346e-05,True
ILMN_1652037,0,-0.059030673779530606,0.180299756287338,False
ILMN_1652056,0,-0.022473107124260535,0.0940763214691094,False
ILMN_1652065,0,-0.11421882489840611,0.0829548170306807,False
ILMN_1652066,0,-0.016690189058346266,0.335769565411449,False
ILMN_1652072,0,-0.11234116721224434,0.154803180171953,False
ILMN_1652079,0,0.0008287266472427668,0.949065967839993,False
