,gini,rf_imp,mean_log2FC,gini_n,rf_imp_n,score
ILMN_1699768,0.20903896301610947,0.00010826491516146666,-1.1029820948201634,0.767440397660037,0.007390458169279542,0.3874154279146583
ILMN_1768480,0.06255216356018614,0.009044250637216145,0.6289314660300354,0.15160540613158321,0.6173851972925729,0.3844953017120781
ILMN_1779241,0.20672340156825178,0.00016352648418059012,-1.2400367734026467,0.7577057064119418,0.01116276347793364,0.3844342349449377
ILMN_1681975,0.19525567176115408,0.0007619237931244066,-1.0427629401241951,0.7094950190678608,0.052010994631702105,0.3807530068497815
ILMN_1697626,0.20296587882044337,0.0002858754790890435,-0.8402773892752379,0.7419089656942853,0.019514639314863552,0.3807118025045744
ILMN_1715214,0.20727668838010482,0.0,-0.6678670020426626,0.7600317411151086,0.0,0.3800158705575543
ILMN_1667831,0.18380863523534083,0.00140287882426476,-0.8603172990100744,0.661371326912096,0.09576433188751894,0.3785678293998075
ILMN_1722680,0.2057903281971767,0.0,1.25643804213312,0.7537830373816559,0.0,0.37689151869082793
ILMN_3240144,0.20419702264752507,8.156028368794325e-05,-0.6150687764396373,0.7470847320509616,0.005567527245288533,0.37632612964812506
ILMN_1745817,0.2033243366593883,0.0001032547699214366,-1.1692725049392665,0.7434159334281006,0.007048452000769322,0.375232192714435
ILMN_1695108,0.2048358273609915,0.0,-0.8556477799419443,0.7497702866317641,0.0,0.3748851433158821
ILMN_1805833,0.19523005895019568,0.000588700043979235,-0.9630032326629413,0.7093873420261194,0.04018626941879389,0.37478680572245665
ILMN_2414878,0.20464785955853118,0.0,-1.64530987715361,0.7489800642331198,0.0,0.3744900321165599
ILMN_1739605,0.20454220652676794,0.0,-0.9535294712486159,0.748535895651633,0.0,0.3742679478258165
ILMN_1785202,0.20451408122976977,0.0,-1.1823128173065933,0.7484176560416277,0.0,0.37420882802081384
ILMN_1707571,0.20417390608330238,0.0,-0.9303296755042937,0.7469875493069525,0.0,0.3734937746534763
ILMN_1718813,0.1942191731853212,0.0005859674466292768,-1.1051128032578805,0.7051375473090532,0.03999973487638714,0.37256864109272014
ILMN_1768101,0.2035835561208076,0.0,0.7761712007135827,0.7445056999833131,0.0,0.37225284999165653
ILMN_1672356,0.13882191258676801,0.0039630767380626165,0.8383631263350386,0.4722457670386089,0.27053041893225466,0.37138809298543174
ILMN_3200362,0.20302934109888926,0.0,1.370834762198158,0.7421757630566023,0.0,0.37108788152830113
ILMN_1672114,0.19168258136343963,0.0006662108749938977,-1.0988869917798565,0.6944736375988161,0.04547736998840709,0.3699755037936116
ILMN_3248122,0.18616722426123897,0.0010004451993149257,-1.1358522560273963,0.6712869074161273,0.06829311587383993,0.3697900116449836
ILMN_1680154,0.20072753883643882,8.186995728523967e-05,-0.5907500094382749,0.7324989158453772,0.005588666409010559,0.3690437911271939
ILMN_1737297,0.19984282306436052,0.00010398744113029818,-1.1204983668006026,0.7287795436423763,0.007098466134275559,0.3679390048883259
ILMN_1709877,0.1997200536378822,0.00010515744894710822,-0.9921097548572154,0.7282634172132643,0.00717833405653799,0.36772087563490113
ILMN_1773959,0.199292652331223,0.00010680132921219513,-1.1743982933100034,0.7264666090295692,0.007290549803590577,0.36687857941657986
ILMN_1696488,0.18189435726596154,0.0011671761728231445,-0.9654686323005005,0.6533236436980838,0.0796746265266494,0.3664991351123666
ILMN_1912288,0.20066150679641923,0.0,-0.8982608981323396,0.7322213151266973,0.0,0.36611065756334865
ILMN_1669718,0.19404120125192337,0.00036339997599064576,-0.832664860795894,0.7043893478501024,0.024806672755163635,0.36459801030263306
ILMN_3240173,0.18935382977425225,0.0006505037587567719,-0.4029300040743096,0.6846834945925816,0.04440515942658876,0.36454432700958517
ILMN_1701025,0.19298097314999507,0.0004085624960260051,-0.8471106282381955,0.6999321164367989,0.027889589456689557,0.3639108529467442
ILMN_3234905,0.19071475398904894,0.00046094844740048003,-0.8029629871531797,0.6904048616741415,0.03146559726784022,0.3609352294709909
