,gini,rf_imp,mean_log2FC,gini_n,rf_imp_n,score
ENSG00000000971.11,0.1558508711083957,0.0003165809259992087,1.65412090268991,0.31718895419351745,0.010778392814184376,0.1639836735038509
ENSG00000143858.7,0.12758556440238972,0.0021470769848748045,-1.2396200189380735,0.24861523825523277,0.07309991615013815,0.16085757720268545
ENSG00000138061.7,0.15415692724049979,0.0002506265664160401,1.1662357635341787,0.3130793216032646,0.008532894311229293,0.16080610795724695
ENSG00000054598.5,0.15320552062608128,0.00031481481481481497,1.4149683504548767,0.31077113908122334,0.010718263354271913,0.16074470121774762
ENSG00000168874.8,0.15209459958354024,0.0003874420350392889,1.1130208432779032,0.3080759628075873,0.013190947727504216,0.16063345526754577
ENSG00000149809.10,0.05526076403163415,0.007208761460343101,-0.6757700861476623,0.07314994550242158,0.24543128262732275,0.15929061406487216
ENSG00000169213.6,0.147912219659108,0.0006046863189720333,-0.9122546736289073,0.29792920105944537,0.020587300560426233,0.1592582508099358
ENSG00000100276.8,0.08242382625426845,0.005234972319789626,-0.707711958151481,0.13904953513868346,0.17823116745263312,0.1586403512956583
ENSG00000163131.5,0.15524772327552233,0.0,1.0917605198391296,0.31572567312636163,0.0,0.15786283656318081
ENSG00000171388.9,0.10424409534525539,0.0036069466595782386,0.681101155520979,0.19198711511634312,0.12280300158336639,0.15739505834985476
ENSG00000187193.8,0.15243738402839743,0.00016835016835016836,1.5157266898131967,0.30890758311845784,0.005731691633300485,0.15731963737587917
ENSG00000051523.6,0.15367168968803288,0.0,0.9413376253977379,0.311902099561008,0.0,0.155951049780504
ENSG00000145832.8,0.12242378071431502,0.002210526315789474,0.9485351940909209,0.23609237083891374,0.07526012782504238,0.15567624933197804
ENSG00000144476.5,0.15304097112248075,0.0,1.0494472653781985,0.31037192986566253,0.0,0.15518596493283127
ENSG00000130748.6,0.14430734478197405,0.0006062328312967699,-1.24193864730369,0.2891835090919453,0.020639953503036015,0.15491173129749064
ENSG00000086062.8,0.15248617835027936,0.0,1.061551727393395,0.30902596173726904,0.0,0.15451298086863452
ENSG00000142910.10,0.12054369646909263,0.0022233491097588464,0.840280675107015,0.23153114798317415,0.07569669585244651,0.15361392191781031
ENSG00000122585.3,0.15122764526006807,0.0,-1.079829156109558,0.3059726677636805,0.0,0.15298633388184024
ENSG00000171509.11,0.11589671002458332,0.0025016686063295307,-0.850876458220139,0.22025721659692354,0.08517243053992536,0.15271482356842445
ENSG00000006128.7,0.15098679823844144,0.0,-0.8552479002458577,0.3053883551497262,0.0,0.1526941775748631
ENSG00000028137.12,0.15097131445973316,0.0,0.9368687852622003,0.30535079036212853,0.0,0.15267539518106427
ENSG00000165449.7,0.14724522027246326,0.0002525252525252525,1.11689042927363,0.29631101141988037,0.008597537449950727,0.15245427443491555
ENSG00000115825.5,0.07371642855541019,0.00545038485541918,0.7764852380264445,0.11792474698146511,0.1855651561279983,0.1517449515547317
ENSG00000104524.9,0.08510080356891889,0.00462926640272178,-0.7496362547413723,0.14554407927568605,0.1576091534022688,0.15157661633897743
ENSG00000128052.8,0.14090106857115467,0.0006502277678748267,1.1532234312511311,0.2809196321166273,0.022137816037794696,0.151528724077211
ENSG00000198417.5,0.14925912522010812,0.0,1.8999360716982834,0.3011968931562055,0.0,0.15059844657810276
ENSG00000010379.11,0.14010967463815432,0.0006289498047739806,1.0280023613805607,0.27899965214537453,0.021413381222706647,0.1502065166840406
ENSG00000010610.5,0.14069851867924507,0.0005542185640869853,0.9736136347398037,0.28042823116012583,0.018869062846375264,0.14964864700325053
ENSG00000133112.12,0.027540226376589778,0.00859290870575476,0.5444847916645786,0.005897879406509677,0.29255630343086736,0.1492270914186885
