Gene_set,Term,Overlap,P-value,padj,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),44/379,1.1703690253421858e-05,0.0038505140933757,0,0,2.1553351256141653,24.475137259526445,KANK2;CDKN1A;NDRG4;BTG1;FBLN1;TOB2;DLL1;TOB1;SOX2;TIAL1;PAK1;FRZB;ADORA3;NACC2;TP53INP1;SMYD2;CYP1B1;SPEG;APOD;HES1;JAK2;ARID2;ADAMTS8;S100A11;KLF10;CGREF1;TGFB2;CDKN2C;TGFB1;IGFBP5;TESC;TGFBR3;KAT2B;NELL1;AZGP1;FABP3;SFRP2;RGCC;DLG3;SST;OGN;NUPR1;HSPA1B;HSPA1A
GO_Biological_Process_2023,Positive Regulation Of Microtubule Nucleation (GO:0090063),5/7,1.297455701997918e-05,0.0039129101546087,0,0,40.36663807890223,454.2264132362864,PAK1;DCTN1;PDE4DIP;HSPA1B;HSPA1A
GO_Biological_Process_2023,Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158),9/28,1.9644387536083285e-05,0.0053916886956124,0,0,7.667814113597246,83.1016138027522,RPH3A;SYT5;SYT4;SYT2;DOC2A;TRPV6;SYT11;STXBP1;STX1A
GO_Biological_Process_2023,Hemopoiesis (GO:0030097),18/101,2.085759650140199e-05,0.0053916886956124,0,0,3.525930260504289,38.00174413710212,NOTCH2;CSF1R;WNT10B;TGFB2;CEBPB;TGFB1;PRKX;BMI1;DLL1;KLF3;ZFP36L2;TGFBR2;TGFBR3;SFRP2;IFI16;MKNK2;KDR;CD34
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),73/763,2.3805114413300303e-05,0.0057433806041155,0,0,1.7477719701169452,18.60609895340436,KDM1B;ZMYND8;EHMT1;BMI1;BACH1;SOX2;NIPBL;DACH1;TRPS1;KLF10;EDN1;SOX13;ARID5A;PAX6;ZBTB34;SIRT7;SIRT1;ZHX1;SAP30;THAP1;MAF;IRF2;CRY1;ZNF558;LCOR;PPARA;EZR;ZNF554;CGGBP1;KANK2;YAP1;CEBPB;FOXC1;SP100;CBFB;HDAC1;CREM;GLIS3;ZBTB1;ASCL1;ZBTB5;RELA;DNAJB1;RXRA;IFI16;NFIL3;BAG3;MIER3;NACC2;DNAJB4;MXI1;SMYD2;HES1;CRYM;SMAD4;WFS1;KCNIP3;PTCH1;ZBTB10;IGF2;IRF2BP2;LARP7;NR2F2;KLF4;KLF2;DAB2;BCL6;MAFF;ID1;ZNF614;ID3;TAF3;HSPA1A
GO_Biological_Process_2023,Regulation Of Plasma Membrane Repair (GO:1905684),4/5,5.574355912676117e-05,0.0126084962799842,0,0,64.53470437017995,632.1012108090735,RAB3A;ANXA2;SYTL4;S100A10
GO_Biological_Process_2023,Cardiac Conduction System Development (GO:0003161),8/25,5.951225190902775e-05,0.0126691082152218,0,0,7.611956906580345,74.05922814670907,NOTCH2;GJA1;SMAD4;GJB6;MSX1;SMAD5;CACNA1G;BMPR1A
GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),159/2028,6.759619964144475e-05,0.0135905914723549,0,0,1.4257164428146354,13.689670536999891,KDM1B;ZMYND8;EHMT1;HR;RORA;ELK1;BACH1;FGF2;TIAL1;SOX2;DACH1;ZNF449;BBX;SUPT20H;ARID2;SOX5;RFX2;SOX13;ARID5A;RFX3;ZBTB34;POU3F2;POU3F3;SAP30;THAP1;JMJD6;MAF;SFRP2;RFX4;ZNF558;EZR;ZNF554;CGGBP1;ZNF395;CBFB;CREM;GLIS3;ZBTB1;BAZ2B;ZNF24;ZBTB5;FOXO1;MIER3;NEUROD6;NACC2;SMYD2;SAFB2;S100A10;WWTR1;EGR1;ZNF143;SMAD4;TGFB1;WFS1;PTCH1;PBX3;ZBTB10;IGF2;LARP7;IRF2BP2;SMAD9;NR2F2;SMAD5;FLI1;NFATC4;NFKBIA;DAB2;RGCC;BCL6;LHX2;SP4;ID1;MAFF;CREBRF;ID3;HBP1;ATM;RCOR2;ZNF652;NFE2L2;BMPR1A;CSRNP1;HIF3A;YBX1;BMI1;CHD1;PKD1;CX3CL1;IKBKB;NIPBL;MED13;ZIC2;HYAL2;TRPS1;ZIC1;TEAD1;GABPA;KLF10;EDN1;ZHX3;ANXA2;TCF12;PAX6;SIRT7;SIRT1;ZHX1;KLF15;DCN;KAT2B;ELF1;IRF2;CRY1;LCOR;HCLS1;ARHGEF2;PPARA;TLR4;RHOQ;KANK2;YAP1;FOXC1;CEBPB;SP100;CEBPD;HDAC1;ASCL1;DLL1;EGFR;RELA;DNAJB1;RXRA;IFI16;NFIL3;DNAJB4;ATOH8;MXI1;BRD9;HES1;MSX1;E2F5;CRYM;PURG;KCNIP3;ATAD2;ZIC5;ELP4;DEK;KLF4;KLF3;KLF2;TARBP1;GRIN1;KLF6;ZNF614;CDK2AP1;AGRN;PAXBP1;TAF3;HSPA1A
GO_Biological_Process_2023,Positive Regulation Of Secretion By Cell (GO:1903532),14/73,7.385935384960069e-05,0.0140682632411423,0,0,3.849523167748268,36.621853131931694,EDN1;TGFB2;RAB3A;TGFB1;ANXA2;SYTL4;CD2AP;STX1B;RGCC;RAB9A;ATP13A2;EZR;STX1A;S100A10
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),105/1243,8.537854439209615e-05,0.0154492476077497,0,0,1.5312362955318075,14.345258190304424,KDM1B;RORA;ELK1;FGF2;SOX2;HMGN5;SUPT20H;ANKRD49;RFX3;POU3F2;POU3F3;JMJD6;SFRP2;RFX4;ZNF318;ZNF395;GLIS3;ZNF24;FOXO1;NEUROD6;TASP1;S100A10;FZD1;WWTR1;EGR1;ZNF143;TGFB2;SMAD4;TGFB1;IGF2;NR2F2;SMAD5;FLI1;NFKBIA;DAB2;RGCC;LHX2;BAMBI;MAFF;CREBRF;ATM;HLA-DRB1;NFE2L2;BMPR1A;KDM5A;CSRNP1;YBX1;PKD1;CX3CL1;IKBKB;MED13;ZIC2;HYAL2;ZIC1;TEAD1;GABPA;KLF10;EDN1;ANXA2;TESC;TCF12;PAX6;SIRT7;SIRT1;KLF15;TGFBR1;DCN;KAT2B;ELF1;IRF2;ZNF516;HCLS1;ARHGEF2;PPARA;TLR4;RHOQ;YAP1;FOXC1;CEBPB;SP100;HDAC1;ASCL1;DLL1;EGFR;RELA;CAMKK2;RXRA;IFI16;NFIL3;TP53INP2;TP53INP1;ATOH8;HES1;ATAD2;DEK;KLF4;KLF2;APLN;GRIN1;CD4;KLF6;NAA16;AGRN;PAXBP1;TAF3
GO_Biological_Process_2023,Positive Regulation Of miRNA Metabolic Process (GO:2000630),11/49,9.827252419431816e-05,0.0164977868821149,0,0,4.689224137931035,43.27106343965736,EGR1;TGFB2;PNPT1;TGFB1;ATOH8;KLF4;FGF2;TEAD1;EGFR;RELA;APLN
GO_Biological_Process_2023,Regulation Of Fat Cell Differentiation (GO:0045598),14/75,0.00010040478853175998,0.0164977868821149,0,0,3.722912563583037,34.27425238120188,YAP1;WNT10B;WWTR1;CEBPB;TGFB1;RARRES2;RORA;SIRT1;FOXO1;ZFP36L2;ZFP36L1;SFRP2;FRZB;LCP1
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),55/557,0.00010484915675287188,0.0164977868821149,0,0,1.799227819903183,16.48630264067339,KDM5A;RORA;ELK1;FGF2;IKBKB;SOX2;MED13;HMGN5;ZIC2;ZIC1;SUPT20H;TEAD1;ANKRD49;TESC;RFX3;PAX6;POU3F3;TGFBR1;JMJD6;KAT2B;ELF1;ZNF318;ZNF516;PPARA;YAP1;CEBPB;FOXC1;SP100;HDAC1;EGFR;FOXO1;RELA;CAMKK2;RXRA;NFIL3;TP53INP2;TP53INP1;ATOH8;TASP1;FZD1;EGR1;SMAD4;TGFB1;ATAD2;NR2F2;KLF4;SMAD5;FLI1;KLF2;KLF6;CD4;LHX2;BAMBI;NAA16;HLA-DRB1
GO_Biological_Process_2023,Negative Regulation Of Cell Growth (GO:0030308),19/125,0.00011977129375625264,0.0178102139112782,0,0,2.9132026336477987,26.30600571696368,RTN4R;SMAD4;TGFB2;CDKN1A;TGFB1;BTG1;CDKN2C;OSGIN2;SIRT1;GJA1;SFRP2;BCL6;FRZB;HYAL2;TRIM46;MSX1;HSPA1B;SIPA1;HSPA1A
GO_Biological_Process_2023,Cellular Response To Zinc Ion (GO:0071294),6/15,0.00012587267254972586,0.0178102139112782,0,0,10.76967095851216,96.71422666813972,MT2A;MT1M;MT1F;MT1G;MT1X;MT1E
GO_Biological_Process_2023,Regulation Of miRNA Transcription (GO:1902893),12/59,0.00013246530506501815,0.0178102139112782,0,0,4.137536027022562,36.94484447055752,EGR1;TGFB2;TGFB1;ATOH8;PPARA;KLF4;FGF2;TEAD1;EGFR;RELA;APLN;NFATC4
GO_Biological_Process_2023,Regulation Of Microtubule Nucleation (GO:0010968),5/10,0.00013417296656470198,0.0178102139112782,0,0,16.144082332761577,143.946785666581,PAK1;DCTN1;PDE4DIP;HSPA1B;HSPA1A
GO_Biological_Process_2023,Positive Regulation Of Cell Growth (GO:0030307),17/106,0.00013779662600602128,0.0178102139112782,0,0,3.101863571748486,27.574734874462692,CPNE9;YAP1;SYT4;USP47;TGFB2;EDN1;SYT2;CPNE5;LIMK1;RASAL1;TGFBR1;EGFR;CXCL16;SFRP2;BCL2;S100A9;TEAD1
GO_Biological_Process_2023,Positive Regulation Of miRNA Transcription (GO:1902895),10/43,0.00014813400231216428,0.018486101874749,0,0,4.905906611332968,43.25730795184258,EGR1;TGFB2;TGFB1;ATOH8;KLF4;FGF2;TEAD1;EGFR;RELA;APLN
GO_Biological_Process_2023,Regulation Of Cell Growth (GO:0001558),28/227,0.0001577287608739144,0.0189459865660323,0,0,2.293356546512088,20.077496516215795,YAP1;CDKN1A;BTG1;EGFR;CXCL16;GJA1;FRZB;HYAL2;MSX1;TEAD1;USP47;SMAD4;TGFB2;CDKN2C;TGFB1;OSGIN2;SIRT1;IL17RB;TGFBR1;SFRP2;BCL6;BCL2;CHPT1;SGK1;S100A9;HSPA1B;SIPA1;HSPA1A
GO_Biological_Process_2023,Metal Ion Transport (GO:0030001),23/171,0.00016572791849064696,0.0189459865660323,0,0,2.528857472455033,22.014116904965743,CHRNB2;KCNH3;KCNF1;NDFIP1;KCNJ10;KCNK9;CHRNA4;KCNA1;SLC41A1;ATP2B2;PKD1;TRPV6;KCNS2;CHP1;TRPM7;SLC17A7;SCN3B;SGK1;KCNK1;SCN4B;CACNG3;KCNK3;TPT1
GO_Biological_Process_2023,Regulation Of Endothelial Cell Migration (GO:0010594),15/88,0.00016752461180244134,0.0189459865660323,0,0,3.333886334549936,28.98607560740397,EDN1;GRN;SP100;SPARC;ANXA3;PRCP;NR2F2;FGF2;DCN;NELL1;ATOH8;KDR;GLUL;RIN2;SASH1
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),88/1025,0.0001877552357268493,0.0205904908513778,0,0,1.5515776465823323,13.31311243415701,KDM1B;ZMYND8;GMNN;EHMT1;BMI1;BACH1;SOX2;NIPBL;DACH1;ZIC2;TRPS1;KLF10;USP47;EDN1;ZHX3;SOX13;ARID5A;RFX3;ZBTB34;PAX6;SIRT7;SIRT1;ZHX1;POU3F3;SAP30;THAP1;MAF;SFRP2;IRF2;ZNF318;CRY1;LCOR;ZNF558;PPARA;EZR;ZNF554;CGGBP1;KANK2;YAP1;FOXC1;CEBPB;SP100;CBFB;HDAC1;CREM;GLIS3;ZBTB1;ZNF24;ZBTB5;ASCL1;FOXO1;RELA;DNAJB1;RXRA;IFI16;NFIL3;MIER3;NACC2;DNAJB4;ATOH8;MXI1;SMYD2;HES1;CRYM;BEND5;SMAD4;TGFB1;WFS1;KCNIP3;PTCH1;ZBTB10;IGF2;LARP7;IRF2BP2;NR2F2;FOXN3;KLF4;KLF2;NFATC4;DAB2;BCL6;ID1;MAFF;ZNF614;ID3;RCOR2;TAF3;HSPA1A
GO_Biological_Process_2023,Response To Transforming Growth Factor Beta (GO:0071559),9/38,0.0002729222578921242,0.0282730004585509,0,0,5.021069499673571,41.2045209966407,SMAD4;TGFB1;FNDC4;ROCK1;HYAL2;ZFP36L2;TGFBR1;ZFP36L1;SOX5
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),81/938,0.0002808036857959004,0.0282730004585509,0,0,1.5583826662241873,12.744227104641393,CSRNP1;KDM1B;ZMYND8;RORA;YBX1;ELK1;FGF2;PKD1;CX3CL1;IKBKB;SOX2;MED13;HYAL2;TEAD1;GABPA;KLF10;EDN1;ANXA2;TCF12;RFX3;PAX6;SIRT1;POU3F2;KLF15;DCN;JMJD6;KAT2B;ELF1;SFRP2;RFX4;IRF2;HCLS1;ARHGEF2;PPARA;TLR4;RHOQ;YAP1;FOXC1;ZNF395;CEBPB;HDAC1;GLIS3;ZNF24;ASCL1;DLL1;EGFR;FOXO1;RELA;RXRA;IFI16;NEUROD6;ATOH8;HES1;S100A10;EGR1;WWTR1;ZNF143;SMAD4;TGFB1;ATAD2;IGF2;LARP7;SMAD9;NR2F2;DEK;KLF4;SMAD5;KLF2;GRIN1;NFKBIA;DAB2;KLF6;RGCC;MAFF;CREBRF;ATM;AGRN;PAXBP1;TAF3;NFE2L2;BMPR1A
GO_Biological_Process_2023,Positive Regulation Of SMAD Protein Signal Transduction (GO:0060391),6/17,0.0002812456525304872,0.0282730004585509,0,0,8.810612563402263,72.03805345944379,SMAD4;DAB2;TGFB1;JAK2;TGFBR1;BMPR1A
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),94/1127,0.000311455763521088,0.0297960391588161,0,0,1.5036066086553217,12.140500533108556,BTG1;HP1BP3;RORA;YBX1;BMI1;BACH1;FGF2;AFF1;SLC8A2;SOX2;PTBP1;GJA1;HMGN5;TRIM4;KDR;HMG20B;SUPT20H;CD34;TRIM22;KDM6A;IFNGR1;TESC;SOX13;RFX3;ZBTB34;PAX6;SIRT1;MYT1;POU3F3;TGFBR1;SAP30;THAP1;STX1B;KAT2B;SFRP2;TRIM17;HNRNPH1;IRF2;ZNF516;HCLS1;EZR;TLR4;CGGBP1;RBMS3;YAP1;NOTCH2;FOXC1;ZNF395;CEBPB;ROCK1;AHNAK;HDAC1;CREM;ZBTB1;ASCL1;TOB2;DLL1;TOB1;RELA;ZFP36L1;NWD1;IFI16;NFIL3;ATOH8;UBR5;SLC38A2;WNT3;STOX1;RBM38;EGR1;WWTR1;ZNF143;TGFB2;NDFIP1;TGFB1;TIPARP;AHNAK2;IGF2;FOXN3;KLF4;SMAD5;APLN;CLK1;NELL1;RGCC;BCL6;HNRNPF;ATM;ATP13A2;HSPA1B;NFE2L2;PHF19;HSPA1A;BMPR1A
